# data from ifeffit
#------------------------
#   energy      xmu       bkg       deriv
  7931.3762       0.82227358       0.82241949      -0.12874139E-02
  7936.9870       0.82216378       0.82215785      -0.89888100E-03
  7942.4576       0.82191403       0.82191158      -0.10580259E-02
  7948.1656       0.82174056       0.82166386       0.21705399E-03
  7953.7469       0.82200085       0.82143073      -0.11544622E-02
  7959.5394       0.82127878       0.82119822      -0.22089698E-02
  7965.1778       0.82111726       0.82098108      -0.87628458E-03
  7970.9875       0.82092827       0.82076679      -0.15143324E-02
  7976.6155       0.82051153       0.82056828      -0.77364550E-03
  7982.4016       0.82061881       0.82037346      -0.37988192E-03
  7988.0872       0.82035958       0.82019113      -0.10007865E-02
  7993.8222       0.82021849       0.82001631      -0.75123324E-03
  7999.4836       0.82005908       0.81985264      -0.91990812E-03
  8005.2492       0.81985053       0.81969500      -0.89754470E-03
  8011.1743       0.81970007       0.81954246      -0.55899312E-03
  8017.0398       0.81962693       0.81940084      -0.79684739E-03
  8023.0106       0.81938133       0.81926622      -0.13002119E-02
  8028.7975       0.81910685       0.81914488      -0.11446906E-02
  8034.6758       0.81892345       0.81903076      -0.70389303E-03
  8040.4110       0.81882529       0.81892826      -0.49633497E-03
  8046.4039       0.81872492       0.81883042      -0.66786207E-03
  8052.3644       0.81855815       0.81874244      -0.74783083E-03
  8058.3757       0.81842578       0.81866309      -0.65548090E-03
  8064.2849       0.81829595       0.81859421      -0.31299018E-03
  8070.2031       0.81830059       0.81853423      -0.51998715E-03
  8076.0885       0.81808796       0.81848347      -0.56134346E-03
  8082.0665       0.81807605       0.81844093       0.18112941E-03
  8084.0938       0.81816041       0.81842855       0.42180098E-03
